course_id,course_name,skills_taught,target_role,duration,level,provider
C001,Industrial Safety Fundamentals,"Safety Practices, PPE Usage, Hazard Awareness",All,1 week,Beginner,Tata Steel L&D
C002,Workplace Health & Safety,"Health and Safety Practices, Risk Assessment",All,1 week,Beginner,Tata Steel L&D
C003,5S and Workplace Discipline,"5S, Housekeeping, Workplace Discipline",All,1 week,Beginner,Tata Steel L&D
C004,Emergency Response & Fire Safety,"Emergency Response, Fire Safety",All,1 week,Beginner,Tata Steel L&D
C005,Cast House Fundamentals,"Tap Hole Preparation, Equipment Maintenance",Cast House Junior Operator,3 weeks,Beginner,Tata Steel L&D
C006,Advanced Cast House Operations,"Blast Furnace Operations, Cast House Equipment",Cast House Senior Operator,6 weeks,Intermediate,Tata Steel L&D
C007,Heating Regulation & Process Monitoring,"Measurement Parameters, Process Monitoring",Heating Regulator,6 weeks,Intermediate,Tata Steel L&D
C008,Control Room Operations,"Control Panel Operation, Process Control, SCADA",Control Room Operator,10 weeks,Advanced,Tata Steel L&D
C009,Rolling Mill Process Control,"Metallurgy, Hydraulics, Process Control",Process Operator: Rolling Mills,10 weeks,Advanced,Tata Steel L&D
C010,Battery Operations Excellence,"Coke Production, Pollution Control",Battery Operator,3 weeks,Advanced,Tata Steel L&D
C011,Bearing Inspection Fundamentals,"Bearing Inspection, Bearing Maintenance",Bearing Maintenance,1 week,Beginner,Tata Steel L&D
C012,Conveyor Maintenance Techniques,"Conveyor Maintenance, Troubleshooting",Belt Conveyor Maintenance,2 weeks,Intermediate,Tata Steel L&D
C013,Electrical Assembly Workshop,"Electrical Assembly, Quality Checks",Fitter Electrical Assembly,2 weeks,Beginner,Tata Steel L&D
C014,Instrumentation & Calibration,"Instrumentation, Calibration",Iron & Steel - Fitter Instrumentation,4 weeks,Intermediate,Tata Steel L&D
C015,Electronic Assembly Systems,"Electronic Assembly, Wiring, Soldering",Iron & Steel - Fitter: Electronic Assembly,3 weeks,Intermediate,Tata Steel L&D
C016,Hydraulic & Pneumatic Systems,"Hydraulic Maintenance, Pneumatic Maintenance",Fitter: Hydraulic & Pneumatic System,5 weeks,Advanced,Tata Steel L&D
C017,Levelling Alignment & Balancing,"Alignment, Balancing, Testing","Fitter: Levelling, Alignment & Balancing",2 weeks,Intermediate,Tata Steel L&D
C018,Mobile Equipment Maintenance,"Machining, Welding, Equipment Maintenance",Mobile Equipment Maintenance,4 weeks,Advanced,Tata Steel L&D
C019,Rigging Fundamentals,"Rigging, Load Distribution, Lifting",Rigger: Rigging of Heavy Material,1 week,Beginner,Tata Steel L&D
C020,Mobile Equipment Operations,"Equipment Operation, Driving Skills",Mobile Equipment Operator,3 weeks,Intermediate,Tata Steel L&D
C021,Crane Operations & Safety,"Crane Operation, Signalling, Safety",EOT Overhead Crane Operator,3 weeks,Intermediate,Tata Steel L&D
C022,Industrial Locomotive Operations,"Traffic Signals, Locomotive Systems",Locomotive Driver,5 weeks,Advanced,Tata Steel L&D
C023,Mechanised Housekeeping,"Equipment Operation, Housekeeping",House Keeping with Mechanised Equipment,1 week,Beginner,Tata Steel L&D
C024,Plasma Cutting Fundamentals,Plasma Arc Cutting,Iron & Steel - Plasma Cutter: Manual,2 weeks,Beginner,Tata Steel L&D
C025,Industrial Machining,"Machining, Engineering Drawings",Iron & Steel - Machinist,4 weeks,Intermediate,Tata Steel L&D
C026,Advanced GTAW Welding,"GTAW Welding, Welding Metallurgy",Iron & Steel - Tungsten Inert Gas Welder (GTAW),8 weeks,Advanced,Tata Steel L&D
C027,Utility Plant Operations,"Plant Operations, Tool Handling",Iron & Steel - Utility Hand-Plant Operations,2 weeks,Beginner,Tata Steel L&D
C028,Fluid Management Systems,"Fluid Systems, Inventory Management",Fluid Management Operator: Rolling Mills,4 weeks,Intermediate,Tata Steel L&D
C029,Industrial Refractory Practices,"Refractory Installation, Drawings",Refractory Brick Layer,5 weeks,Advanced,Tata Steel L&D
C030,Conveyor Operations & Maintenance,"Conveyor Operation, Maintenance",Conveyor Operation and Maintenance,3 weeks,Intermediate,Tata Steel L&D
C031,Physical Testing Laboratory Basics,"Physical Testing, Calibration",Laboratory Technician Physical,2 weeks,Beginner,Tata Steel L&D
C032,Problem Solving & Root Cause Analysis,"Problem Solving, RCA",All,1 week,Intermediate,Tata Steel L&D
C033,Industrial Communication Skills,"Communication Skills, Reporting",All,1 week,Beginner,Tata Steel L&D
C034,Digital Skills for Manufacturing,"Computer Operations, Digital Reporting",All,2 weeks,Intermediate,Tata Steel L&D
C035,Leadership for Frontline Managers,"Leadership, Coaching, Team Management",Manager,4 weeks,Advanced,Tata Steel L&D
C999,Advanced Digital Metallurgy,process control; steelmaking,Junior Engineer,12 weeks,Advanced,Tata Steel L&D Division
